asof_date,effective_date,strategy_id,stock_code,stock_name,industry,entry_display,entry_price,close,magnitude_pct,direction,signed_return_pct,signal,source,quality_note
2026-08-25,,BREAKOUT,1590,亞德客-KY,電機機械,1560,1560,1460,6.5,-,-6.5,抱,owner_strategy_card_2026-08-25,
2026-08-25,,BREAKOUT,1709,和益,化學工業,27.4,27.4,33.75,23.0,+,23.0,抱,owner_strategy_card_2026-08-25,
2026-08-25,,BREAKOUT,2395,研華,電腦及週邊,661,661,670,1.4,+,1.4,抱,owner_strategy_card_2026-08-25,
2026-08-25,,BREAKOUT,2408,南亞科,半導體業,489.0,489.0,510,4.1,+,4.1,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,1709,和益,化學工業,32.55,32.55,33.75,3.5,+,3.5,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,1714,和桐,化學工業,12.1,12.1,16.5,37.8,+,37.8,抱,owner_strategy_card_2026-08-25,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=37.8+,implied=+36.4"
2026-08-25,,MARGIN,2030,彰源,鋼鐵工業,18.0,18.0,23.65,31.2,+,31.2,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,2354,鴻準,其他電子業,63.1,63.1,60.5,4.3,-,-4.3,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,2637,慧洋-KY,航運業,97.8,97.8,95.5,2.5,-,-2.5,抱,owner_strategy_card_2026-08-25,ACTUAL_FILL_2026-08-25T10:14:13@97.80x1000
2026-08-25,,MARGIN,3046,建基,電腦及週邊,57.7,57.7,57.2,1.0,-,-1.0,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,3605,宏致,電子零組件,108.0,108.0,116.5,9.2,+,9.2,抱,owner_strategy_card_2026-08-25,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=9.2+,implied=+7.9"
2026-08-25,,MARGIN,6213,聯茂,電子零組件,424.0,424.0,530,24.8,+,24.8,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,6570,維田,電腦及週邊,56.9,56.9,52.9,7.2,-,-7.2,抱,owner_strategy_card_2026-08-25,
2026-08-25,,MARGIN,6603,富強鑫,電機機械,27.0,27.0,26.25,2.9,-,-2.9,抱,owner_strategy_card_2026-08-25,
2026-08-25,,TRUST,2301,光寶科,電腦及週邊,268.0,268.0,296.0,10.3,+,10.3,抱,owner_strategy_card_2026-08-25,
2026-08-25,,TRUST,2606,裕民,航運業,68.4,68.4,78.0,13.9,+,13.9,抱,owner_strategy_card_2026-08-25,
2026-08-25,,TRUST,2609,陽明,航運業,55.1,55.1,63.6,15.3,+,15.3,抱,owner_strategy_card_2026-08-25,
2026-08-25,,TRUST,3044,健鼎,電子零組件,492.0,492.0,463.0,6.0,-,-6.0,抱,owner_strategy_card_2026-08-25,
2026-08-25,,TRUST,6672,騰輝電子-KY,電子零組件,280.0,280.0,270.5,3.5,-,-3.5,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,2059,川湖,電子零組件,11700,11700,14285,21.9,+,21.9,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,2103,台橡,橡膠工業,27.8,27.8,28.1,0.9,+,0.9,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,2301,光寶科,電腦及週邊,274.0,274.0,296.0,8.9,+,8.9,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,2395,研華,電腦及週邊,660,660,670,1.4,+,1.4,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,2397,友通,電腦及週邊,67.1,67.1,62.5,7.0,-,-7.0,抱,owner_strategy_card_2026-08-25,
2026-08-25,,YOY,3006,晶豪科,半導體業,274.0,274.0,270.0,1.6,-,-1.6,抱,owner_strategy_card_2026-08-25,
2026-08-26,,BREAKOUT,1590,亞德客-KY,電機機械,1560,1560,1470,5.9,-,-5.9,抱,owner_strategy_card_2026-08-26,
2026-08-26,,BREAKOUT,1709,和益,化學工業,27.40,27.40,37.1,35.2,+,35.2,抱,owner_strategy_card_2026-08-26,
2026-08-26,,BREAKOUT,2395,研華,電腦及週邊,661,661,688,4.1,+,4.1,抱,owner_strategy_card_2026-08-26,
2026-08-26,,BREAKOUT,2408,南亞科,半導體業,489.0,489.0,517,5.6,+,5.6,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,1709,和益,化學工業,32.55,32.55,37.1,13.8,+,13.8,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,1714,和桐,化學工業,12.10,12.10,16.55,38.2,+,38.2,抱,owner_strategy_card_2026-08-26,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=38.2+,implied=+36.8"
2026-08-26,,MARGIN,2030,彰源,鋼鐵工業,18.00,18.00,23.5,30.4,+,30.4,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,2354,鴻準,其他電子業,63.1,63.1,61.5,2.7,-,-2.7,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,2637,慧洋-KY,航運業,97.8,97.8,91.2,6.9,-,-6.9,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,3046,建碁,電腦及週邊,57.7,57.7,57.5,0.5,-,-0.5,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,3605,宏致,電子零組件,108.0,108.0,112,5,+,5,抱,owner_strategy_card_2026-08-26,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=5.0+,implied=+3.7"
2026-08-26,,MARGIN,6213,聯茂,電子零組件,424.0,424.0,583,37.3,+,37.3,抱,owner_strategy_card_2026-08-26,
2026-08-26,,MARGIN,6570,維田,電腦及週邊,56.9,56.9,52.7,7.5,-,-7.5,抱,owner_strategy_card_2026-08-26,
